id,disclosure,product,authenticity,trust,purchase_intent
1,None,Search,5.590773263996328,5.1779362327249565,3.624312808308695
2,None,Search,5.137094624951977,5.534476748472094,4.524430096141852
3,None,Search,4.907481374089407,5.10449284225405,5.348439313480022
4,None,Search,4.759117043528569,4.460838837192528,4.713338455887047
5,None,Search,3.817182407706058,4.503545863881472,4.550111555983551
6,None,Search,4.424124633284233,4.6929494670656915,4.231685149269465
7,None,Search,4.63148898323217,5.111622246005217,4.839506241170332
8,None,Search,5.845697780975133,5.9913726457419125,5.398444603810624
9,None,Search,5.274894631654769,4.805418199862779,5.982384222154726
10,None,Search,3.589567875709813,3.5915637804693654,4.331835315736737
11,None,Search,5.259267175515836,5.581060542974299,5.391882168762143
12,None,Search,4.691934175666947,5.05873247325029,4.526846629114441
13,None,Search,4.458462399755233,4.556319122822113,4.333753083002395
14,None,Search,5.489341031072694,5.450136516512546,4.990813887169882
15,None,Search,5.824799617996761,6.298672142291621,5.770996270462865
16,None,Search,5.745024095292959,5.300233581816453,5.152325320601591
17,None,Search,4.328625981421889,4.73644947572253,4.800017988680622
18,None,Search,4.7526300993190285,4.701007753238276,6.304358618643224
19,None,Search,5.265010745122851,5.103167994484671,5.768793739475894
20,None,Search,5.780436101697887,6.173737307351905,5.240045188501243
21,None,Search,4.616660609723768,5.10603666227303,5.610846111349022
22,None,Search,4.851472818668946,5.287933072935477,4.625230930086282
23,None,Search,4.114932020795178,4.944685020213306,3.0422720378526087
24,None,Search,4.043034700735463,4.24492968140475,3.7201604027990953
25,None,Search,5.650020657915358,5.860993011979769,4.080458050031115
26,None,Search,6.0849920228566585,5.712860239988599,5.404935774885079
27,None,Search,4.942391902735733,5.115996698432808,4.978328007074126
28,None,Search,5.8028263183136195,5.577189527467054,6.655201909580869
29,None,Search,5.289308820038107,5.2799450385268445,5.4024344536577775
30,None,Search,4.4839041963159,4.8847018697711775,4.5369721476233345
31,None,Search,5.2891164844067315,4.8221828459086495,5.754053797472482
32,None,Search,6.230429253172775,7.0,4.1904628355981455
33,None,Search,4.9713391687120385,4.47406264421978,5.14773369190322
34,None,Search,6.251714924651205,5.394277633327099,6.2906345905115995
35,None,Search,2.9042039167282043,3.9024185701325975,2.7075119779910333
36,None,Search,5.657522003500179,5.921848949781611,6.195141032344957
